T Score,Z Score,16-19,20-29,30-44,45-59,60-69
5,-4.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5]","[0, 1]",0,
6,-4.4,"[10, 11]","[6, 7, 8]","[2, 3, 4]",1,
7,-4.3,12,"[9, 10]","[5, 6]",2,0
8,-4.2,13,11,7,3,1
9,-4.1,14,"[12,13]",8,4,2
10,-4,15,14,"[9,10]",5,3
11,-3.9,16,15,11,6,4
12,-3.8,17,16,12,,5
13,-3.7,18,17,13,7,6
14,-3.6,19,18,14,8,7
15,-3.5,20,19,15,9,8
16,-3.4,21,20,16,10,9
17,-3.3,22,21,17,11,10
18,-3.2,23,22,18,12,11
19,-3.1,24,23,19,13,12
20,-3,25,24,20,14,13
21,-2.9,26,25,21,15,14
22,-2.8,27,26,22,16,
23,-2.7,28,27,23,17,15
24,-2.6,29,28,24,18,16
25,-2.5,30,29,25,19,17
26,-2.4,31,30,26,20,18
27,-2.3,32,31,27,21,19
28,-2.2,33,,28,22,20
29,-2.1,34,32,29,23,21
30,-2,,33,30,24,22
31,-1.9,35,34,31,25,23
32,-1.8,36,35,32,26,24
33,-1.7,37,,,27,25
34,-1.6,38,36,33,28,26
35,-1.5,39,37,34,29,27
36,-1.4,40,38,35,30,28
37,-1.3,41,39,36,31,29
38,-1.2,,,37,32,30
39,-1.1,42,40,38,33,31
40,-1,43,41,39,34,32
41,-0.9,44,42,40,35,33
42,-0.8,45,43,41,36,34
43,-0.7,46,44,42,37,35
44,-0.6,47,,43,38,
45,-0.5,,45,44,39,36
46,-0.4,48,46,45,40,37
47,-0.3,49,47,"[46,47]",41,38
48,-0.2,50,48,48,42,39
49,-0.1,,49,49,43,40
50,0,51,50,50,44,41
51,0.1,,51,51,45,42
52,0.2,52,52,52,46,43
53,0.3,53,53,53,47,44
54,0.4,54,54,54,48,
55,0.5,55,55,55,49,45
56,0.6,56,56,56,50,46
57,0.7,57,57,57,51,47
58,0.8,58,58,58,52,
59,0.9,59,59,59,53,48
60,1,60,60,60,54,49
61,1.1,61,61,61,55,
62,1.2,62,62,62,56,50
63,1.3,63,,,57,51
64,1.4,,63,63,58,52
65,1.5,64,64,64,59,53
66,1.6,65,65,65,60,54
67,1.7,66,66,66,61,55
68,1.8,,,,62,56
69,1.9,67,67,67,63,57
70,2,68,68,68,64,58
71,2.1,69,69,69,65,59
72,2.2,70,70,70,66,60
73,2.3,71,71,71,,61
74,2.4,72,72,72,67,62
75,2.5,73,73,,68,63
76,2.6,74,,73,69,64
77,2.7,75,74,,70,65
78,2.8,76,75,74,71,66
79,2.9,77,76,75,72,67
80,3,,,,,68
81,3.1,78,77,76,73,69
82,3.2,,,,74,70
83,3.3,79,78,77,75,71
84,3.4,,79,,,72
85,3.5,80,80,78,76,73
86,3.6,,,79,77,74
87,3.7,,,80,78,75
88,3.8,,,,79,76
89,3.9,,,,80,"[77,78]"
90,4,,,,,"[79, 80]"
91,4.1,,,,,
92,4.2,,,,,
93,4.3,,,,,
94,4.4,,,,,
95,4.5,,,,,